x1,y1,x2,y2
692,238,69,16
967,389,103,32
1012,388,109,33
1083,404,118,34
1218,454,136,39
728,916,72,101
775,984,77,109
742,1072,73,121
769,1118,77,128
848,1490,88,174
1105,1412,122,164
1496,1344,173,155
1491,1070,174,121
580,430,53,39
704,627,69,63
976,623,105,63
1157,642,128,65
1455,440,167,38
1592,1077,188,119
956,387,103,32
1006,400,108,34
932,864,99,94
1350,1264,155,145
1590,1090,186,123
1623,1053,191,119
1665,1458,194,168
1564,809,184,87
1603,493,186,46
1148,397,127,33
1418,416,162,37
1502,320,174,25
1694,991,199,112
721,907,70,100
777,963,76,107
755,1043,74,118
762,1070,76,121
996,1249,108,144
728,1368,73,159
1393,1497,159,174
1487,843,173,91
1683,967,198,107
648,1347,61,155
847,1371,87,159
1642,1463,190,169
1707,1264,198,144
702,296,70,22
767,256,78,17
664,793,62,85
877,709,91,73
1001,788,108,83
739,983,72,109
786,1111,79,127
821,1353,85,157
1265,1407,143,164
1221,1284,137,148
1244,1046,139,117
1294,1218,147,140
1409,1418,162,165
1510,1169,175,133
1499,1338,175,156
1467,1284,169,148
1604,1386,186,159
1603,1441,185,166
1642,1463,189,168
662,294,64,22
647,318,62,25
1357,742,155,78
1513,760,177,80
1482,453,170,43
1325,282,152,19
1571,276,181,20
1632,502,190,47
810,304,83,23
608,580,56,59
598,551,54,56
779,514,78,48
586,752,52,80
704,859,68,94
1215,831,137,90
613,832,56,91
920,1077,97,122
646,1330,62,153
827,1138,85,131
1005,1209,108,139
773,1485,79,173
819,1477,85,172
866,1503,91,176
903,1500,97,175
1026,1523,112,177
1295,1428,147,166
1241,1087,140,122
1117,1084,123,124
1374,483,157,45
1273,817,145,87
918,850,96,92
1030,845,113,92
1119,678,123,69
822,860,85,93
641,1338,61,154
1584,1473,183,170
1642,1440,190,166
1683,1458,195,168
1741,1323,203,151
1716,1209,201,138
1790,1254,210,142
1632,268,188,20
1709,408,199,37
1702,836,199,90
1750,1020,204,113
1793,1100,211,125
1770,1369,206,156
1558,1490,180,172
1687,1501,195,173
1480,725,173,75
1252,875,141,95
1341,724,152,76
1400,731,163,77
1828,572,215,56
1815,658,213,68
1656,672,194,68
1069,837,117,90
1555,295,180,23
1684,649,197,67
620,1321,59,152
1663,1495,193,173
1649,295,191,23
1700,631,199,63
1110,702,123,74
1298,740,148,78
1180,762,132,80
1233,596,138,59
1128,857,124,93
1240,1120,140,128
1344,589,153,58
1394,710,160,74
1417,807,164,86
1508,1158,176,132
1509,1005,176,113
1375,1071,158,120
610,865,55,94
673,733,65,76
591,415,54,37
755,245,75,16
1148,730,126,76
637,667,59,69
611,717,55,76
643,801,60,86
575,778,52,83
643,959,61,106
793,1156,80,132
712,1040,69,116
1005,713,107,74
556,699,49,73
604,805,54,87
664,1121,63,127
737,945,72,106
997,411,106,35
821,208,85,11
1227,652,139,66
1338,769,154,81
1114,962,124,107
1098,1531,122,179
1176,1023,131,116





